Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Arsenal,Wojciech Szczesny,Goa,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Wojciech Szczesny,Goa,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Wojciech Szczesny,Goa,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,David Ospina,Goa,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,David Ospina,Goa,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,David Ospina,Goa,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,David Ospina,Goa,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Santiago Cazorla,Mid,1,WHU,A,L,0-2,24.5,0,0,1,5,1,3,0,1,2,0,0,1,1,0,0,2,0,0
Arsenal,Santiago Cazorla,Mid,2,CRY,H,W,1-2,16,0,0,1,4,0,0,0,3,1,0,0,0,0,2,0,1,0,0
Arsenal,Santiago Cazorla,Mid,3,LIV,A,D,0-0,15,0,0,0,3,0,0,1,4,2,0,0,0,0,1,0,0,0,0
Arsenal,Santiago Cazorla,Mid,4,NEW,H,W,0-1,16,0,0,2,4,0,1,1,3,0,0,0,0,0,2,0,0,1,0
Arsenal,Aaron Ramsey,Mid,1,WHU,A,L,0-2,11.5,0,0,0,2,2,2,0,5,0,0,0,3,0,5,0,2,0,0
Arsenal,Aaron Ramsey,Mid,2,CRY,H,W,1-2,18.5,0,0,2,4,0,0,0,0,4,0,0,1,1,2,0,1,0,0
Arsenal,Aaron Ramsey,Mid,3,LIV,A,D,0-0,12,0,0,2,1,0,2,1,1,4,0,0,0,0,3,0,0,0,0
Arsenal,Aaron Ramsey,Mid,4,NEW,H,W,0-1,14,0,0,1,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0
Arsenal,Mesut Ozil,Mid,1,WHU,A,L,0-2,13,0,0,0,4,1,0,0,1,2,0,0,0,0,3,0,2,0,0
Arsenal,Mesut Ozil,Mid,2,CRY,H,W,1-2,25,0,1,0,5,2,0,0,1,1,0,0,0,2,0,0,1,0,0
Arsenal,Mesut Ozil,Mid,3,LIV,A,D,0-0,15,0,0,0,3,1,3,1,1,1,0,0,0,0,1,0,0,0,0
Arsenal,Mesut Ozil,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Nacho Monreal,Mid,1,WHU,A,L,0-2,1.75,0,0,0,0,0,2,0,0,0,0,0,6,3,0,0,2,1,0
Arsenal,Nacho Monreal,Mid,2,CRY,H,W,1-2,8,0,0,0,1,1,1,0,1,1,0,0,2,4,0,0,1,0,0
Arsenal,Nacho Monreal,Mid,3,LIV,A,D,0-0,20.75,0,0,0,2,2,1,1,1,2,0,0,2,3,0,0,0,0,0
Arsenal,Nacho Monreal,Mid,4,NEW,H,W,0-1,16.25,0,0,1,1,0,0,1,1,3,0,0,1,1,0,0,0,0,0
Arsenal,Alex Oxlade-Chamberlain,Mid,1,WHU,A,L,0-2,24,0,0,0,4,2,9,0,1,0,0,0,0,1,0,0,2,0,0
Arsenal,Alex Oxlade-Chamberlain,Mid,2,CRY,H,W,1-2,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Arsenal,Alex Oxlade-Chamberlain,Mid,3,LIV,A,D,0-0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
Arsenal,Alex Oxlade-Chamberlain,Mid,4,NEW,H,W,0-1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0
Arsenal,Francis Coquelin,Mid,1,WHU,A,L,0-2,5.5,0,0,0,1,1,1,0,2,0,0,0,1,0,2,0,2,0,0
Arsenal,Francis Coquelin,Mid,2,CRY,H,W,1-2,5.5,0,0,0,0,0,2,0,1,6,0,0,1,2,1,0,1,1,0
Arsenal,Francis Coquelin,Mid,3,LIV,A,D,0-0,11.5,0,0,0,0,0,1,0,6,5,0,0,1,2,1,0,0,0,0
Arsenal,Francis Coquelin,Mid,4,NEW,H,W,0-1,5.5,0,0,0,0,0,1,1,0,4,0,0,1,1,1,0,0,0,0
Arsenal,Mikel Arteta,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mikel Arteta,Mid,2,CRY,H,W,1-2,4.5,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0
Arsenal,Mikel Arteta,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mikel Arteta,Mid,4,NEW,H,W,0-1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Arsenal,Tomas Rosicky,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Tomas Rosicky,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Tomas Rosicky,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Tomas Rosicky,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mathieu Flamini,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mathieu Flamini,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mathieu Flamini,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Mathieu Flamini,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gedion Zelalem,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gedion Zelalem,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gedion Zelalem,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Gedion Zelalem,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Alex Iwobi,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Alex Iwobi,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Alex Iwobi,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Alex Iwobi,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Krystian Bielik,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Krystian Bielik,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Krystian Bielik,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Krystian Bielik,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chris Willock,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chris Willock,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chris Willock,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Chris Willock,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Jack Wilshire,Mid,1,WHU,A,L,0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Jack Wilshire,Mid,2,CRY,H,W,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Jack Wilshire,Mid,3,LIV,A,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Jack Wilshire,Mid,4,NEW,H,W,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,Jordan Amavi,Def,1,BOU,H,W,0-1,19.75,0,0,0,0,0,4,1,5,4,0,0,0,3,0,0,0,0,0
Aston Villa,Jordan Amavi,Def,2,MUN,A,L,0-1,11.25,0,0,0,0,0,5,0,5,3,0,0,0,1,0,0,1,0,0
Aston Villa,Jordan Amavi,Def,3,CRY,H,L,2-1,1.25,0,0,0,0,0,1,0,1,0,0,0,3,5,1,0,2,0,0
Aston Villa,Jordan Amavi,Def,4,SUN,A,D,2-2,31.75,0,1,0,4,3,5,0,2,6,0,0,1,3,2,0,2,0,0
Aston Villa,Micah Richards,Def,1,BOU,H,W,0-1,22.75,0,0,0,1,0,1,1,7,2,0,0,2,7,0,0,0,0,0
Aston Villa,Micah Richards,Def,2,MUN,A,L,0-1,5.25,0,0,0,0,0,3,0,3,1,0,0,0,1,0,0,1,0,0
Aston Villa,Micah Richards,Def,3,CRY,H,L,2-1,3.25,0,0,0,0,0,1,0,3,1,0,0,2,5,1,0,2,0,0
Aston Villa,Micah Richards,Def,4,SUN,A,D,2-2,8.5,0,0,0,0,0,1,0,1,2,0,0,7,6,0,0,2,0,0
Aston Villa,Ciearan Clark,Def,1,BOU,H,W,0-1,14.5,0,0,0,0,0,0,1,4,1,0,0,4,10,0,0,0,1,0
Aston Villa,Ciearan Clark,Def,2,MUN,A,L,0-1,2.75,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0
Aston Villa,Ciearan Clark,Def,3,CRY,H,L,2-1,5,0,0,0,0,0,0,0,4,1,0,0,5,8,0,0,2,1,0
Aston Villa,Ciearan Clark,Def,4,SUN,A,D,2-2,17.25,0,0,0,2,1,1,0,5,2,0,0,8,9,1,0,2,1,0
Aston Villa,Leandro Bacuna,Def,1,BOU,H,W,0-1,6.25,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,0,1,0
Aston Villa,Leandro Bacuna,Def,2,MUN,A,L,0-1,4.25,0,0,0,0,0,2,0,4,2,0,0,0,1,2,0,1,0,0
Aston Villa,Leandro Bacuna,Def,3,CRY,H,L,2-1,3.25,0,0,0,0,1,0,0,4,4,0,0,1,1,0,0,2,1,0
