Team,Player,Position,GW,OPP,Home/Away,Result,Score,PTS,G,A,SOT,CC,SCR,STO,CS,INT,TW,PS,SV,AER,CLR,DIS,OG,GC,YC,RC
Newcastle,Massadio Haidara,Def,3,MUN,H,D,0-0,5.25,0,0,0,0,0,2,1,1,0,0,0,1,1,2,0,0,1,0
Newcastle,Massadio Haidara,Def,4,ARS,A,L,0-1,5.5,0,0,0,0,0,0,0,6,3,0,0,1,2,3,0,1,0,0
Newcastle,Steven Taylor,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Steven Taylor,Def,2,SWA,H,L,2-0,0.5,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0
Newcastle,Steven Taylor,Def,3,MUN,H,D,0-0,9,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0
Newcastle,Steven Taylor,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Fabricio Coloccini,Def,1,SOU,A,D,2-2,1,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,2,0,0
Newcastle,Fabricio Coloccini,Def,2,SWA,H,L,2-0,-2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0
Newcastle,Fabricio Coloccini,Def,3,MUN,H,D,0-0,16.5,0,0,0,0,0,0,1,4,3,0,0,2,6,0,0,0,0,0
Newcastle,Fabricio Coloccini,Def,4,ARS,A,L,0-1,-6.75,0,0,0,0,0,1,0,1,1,0,0,3,5,0,1,1,1,0
Newcastle,Paul Dummett,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Paul Dummett,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Paul Dummett,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Paul Dummett,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Shane Ferguson,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Shane Ferguson,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Shane Ferguson,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Shane Ferguson,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Curtis Good,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Curtis Good,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Curtis Good,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Curtis Good,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Lubomir Satka,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Lubomir Satka,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Lubomir Satka,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Lubomir Satka,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Jamaal Lascelles,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Jamaal Lascelles,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Jamaal Lascelles,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Jamaal Lascelles,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Michael Williamson,Def,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Michael Williamson,Def,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Michael Williamson,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Michael Williamson,Def,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Daryl Janmaat,Def,1,SOU,A,D,2-2,3.75,0,0,0,0,1,1,0,0,2,0,0,4,3,1,0,2,0,0
Newcastle,Daryl Janmaat,Def,2,SWA,H,L,2-0,-10,0,0,0,0,0,2,0,1,1,0,0,1,0,2,0,1,0,1
Newcastle,Daryl Janmaat,Def,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Daryl Janmaat,Def,4,ARS,A,L,0-1,0.5,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,0,0
Newcastle,Papis Demba Cisse,For,1,SOU,A,D,2-2,18,1,0,2,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0
Newcastle,Papis Demba Cisse,For,2,SWA,H,L,2-0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0
Newcastle,Papis Demba Cisse,For,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Papis Demba Cisse,For,4,ARS,A,L,0-1,2.5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Newcastle,Ayoze Perez Gutierrez,For,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Ayoze Perez Gutierrez,For,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Ayoze Perez Gutierrez,For,3,MUN,H,D,0-0,7,0,0,0,1,1,1,0,3,1,0,0,0,0,2,0,0,0,0
Newcastle,Ayoze Perez Gutierrez,For,4,ARS,A,L,0-1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0
Newcastle,Emmanuel Riviere,For,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Emmanuel Riviere,For,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Emmanuel Riviere,For,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Emmanuel Riviere,For,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Adam Armstrong,For,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Adam Armstrong,For,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Adam Armstrong,For,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Adam Armstrong,For,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Aleksander Mitrovic,For,1,SOU,A,D,2-2,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
Newcastle,Aleksander Mitrovic,For,2,SWA,H,L,2-0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0
Newcastle,Aleksander Mitrovic,For,3,MUN,H,D,0-0,4,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0
Newcastle,Aleksander Mitrovic,For,4,ARS,A,L,0-1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Newcastle,Tim Krul,Goa,1,SOU,A,D,2-2,0.25,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0
Newcastle,Tim Krul,Goa,2,SWA,H,L,2-0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
Newcastle,Tim Krul,Goa,3,MUN,H,D,0-0,24.25,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0
Newcastle,Tim Krul,Goa,4,ARS,A,L,0-1,17.25,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,0
Newcastle,Robert Elliot,Goa,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Robert Elliot,Goa,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Robert Elliot,Goa,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Robert Elliot,Goa,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Karl Darlow,Goa,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Karl Darlow,Goa,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Karl Darlow,Goa,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Karl Darlow,Goa,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Georginio Wijnaldum,Mid,1,SOU,A,D,2-2,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Newcastle,Georginio Wijnaldum,Mid,2,SWA,H,L,2-0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Newcastle,Georginio Wijnaldum,Mid,3,MUN,H,D,0-0,13,0,0,0,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0
Newcastle,Georginio Wijnaldum,Mid,4,ARS,A,L,0-1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0
Newcastle,Gabriel Obertan,Mid,1,SOU,A,D,2-2,15,0,1,0,2,1,0,0,0,3,0,0,2,0,2,0,2,0,0
Newcastle,Gabriel Obertan,Mid,2,SWA,H,L,2-0,6,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
Newcastle,Gabriel Obertan,Mid,3,MUN,H,D,0-0,4,0,0,0,1,1,0,0,2,1,0,0,2,3,1,0,0,1,0
Newcastle,Gabriel Obertan,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Jack Colback,Mid,1,SOU,A,D,2-2,8,0,0,0,2,0,1,0,4,0,0,0,0,1,0,0,2,1,0
Newcastle,Jack Colback,Mid,2,SWA,H,L,2-0,4,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,2,0,0
Newcastle,Jack Colback,Mid,3,MUN,H,D,0-0,5,0,0,0,0,1,0,1,1,3,0,0,0,1,1,0,0,0,0
Newcastle,Jack Colback,Mid,4,ARS,A,L,0-1,2.5,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0
Newcastle,Vurnon Anita,Mid,1,SOU,A,D,2-2,4.5,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Newcastle,Vurnon Anita,Mid,2,SWA,H,L,2-0,4,0,0,0,0,0,0,0,4,1,0,0,0,4,1,0,2,0,0
Newcastle,Vurnon Anita,Mid,3,MUN,H,D,0-0,9,0,0,0,1,1,0,1,4,0,0,0,0,2,0,0,0,0,0
Newcastle,Vurnon Anita,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0
Newcastle,Moussa Sissoko,Mid,1,SOU,A,D,2-2,9,0,0,0,1,1,3,0,1,1,0,0,2,1,1,0,2,0,0
Newcastle,Moussa Sissoko,Mid,2,SWA,H,L,2-0,5,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
Newcastle,Moussa Sissoko,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Moussa Sissoko,Mid,4,ARS,A,L,0-1,-1,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,1,1,0
Newcastle,Cheick Tiote,Mid,1,SOU,A,D,2-2,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Newcastle,Cheick Tiote,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Cheick Tiote,Mid,3,MUN,H,D,0-0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Newcastle,Cheick Tiote,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Rolando Aarons,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Rolando Aarons,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Newcastle,Rolando Aarons,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Rolando Aarons,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Siem de Jong,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Siem de Jong,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Siem de Jong,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Siem de Jong,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Yoan Gouffran,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Yoan Gouffran,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Yoan Gouffran,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Yoan Gouffran,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Haris Vuckic,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Haris Vuckic,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Haris Vuckic,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Haris Vuckic,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Gael Bigirimana,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Gael Bigirimana,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Gael Bigirimana,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Gael Bigirimana,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Sylvain Marveaux,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Sylvain Marveaux,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Sylvain Marveaux,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Sylvain Marveaux,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Olivier Kemen,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Olivier Kemen,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Olivier Kemen,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Olivier Kemen,Mid,4,ARS,A,L,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Florian Thauvin,Mid,1,SOU,A,D,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Florian Thauvin,Mid,2,SWA,H,L,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,Florian Thauvin,Mid,3,MUN,H,D,0-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Newcastle,Florian Thauvin,Mid,4,ARS,A,L,0-1,-3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
Norwich,Russell Martin,Def,1,CRY,A,L,1-3,0.25,0,0,0,0,0,0,0,1,2,0,0,2,5,0,0,3,0,0
Norwich,Russell Martin,Def,2,SUN,H,W,1-3,15.5,1,0,1,0,0,0,0,1,1,0,0,1,10,0,0,1,0,0
Norwich,Russell Martin,Def,3,STO,A,D,1-1,14,1,0,2,0,0,0,0,2,0,0,0,2,4,0,0,1,1,0
Norwich,Russell Martin,Def,4,SOU,H,L,3-0,-1.75,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,3,0,0
Norwich,Sebastien Bassong,Def,1,CRY,A,L,1-3,1.75,0,0,0,0,0,0,0,1,1,0,0,4,7,0,0,3,0,0
Norwich,Sebastien Bassong,Def,2,SUN,H,W,1-3,11,0,0,0,0,0,0,0,4,1,0,0,7,16,0,0,1,1,0
Norwich,Sebastien Bassong,Def,3,STO,A,D,1-1,2,0,0,0,0,0,1,0,0,0,0,0,5,8,1,0,1,1,0
Norwich,Sebastien Bassong,Def,4,SOU,H,L,3-0,2.75,0,0,0,0,0,0,0,4,0,0,0,3,7,0,0,3,0,0
Norwich,Steven Whittaker,Def,1,CRY,A,L,1-3,0.75,0,0,2,0,0,1,0,0,3,0,0,0,3,2,0,3,0,0
Norwich,Steven Whittaker,Def,2,SUN,H,W,1-3,15,1,0,1,0,1,2,0,2,1,0,0,0,0,1,0,1,0,0
Norwich,Steven Whittaker,Def,3,STO,A,D,1-1,-1.25,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0
Norwich,Steven Whittaker,Def,4,SOU,H,L,3-0,-10.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Norwich,Harry Toffolo,Def,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Harry Toffolo,Def,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Harry Toffolo,Def,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Harry Toffolo,Def,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Martin Olsson,Def,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Martin Olsson,Def,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Martin Olsson,Def,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Martin Olsson,Def,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Ryan Bennett,Def,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Ryan Bennett,Def,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Ryan Bennett,Def,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Ryan Bennett,Def,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Andre Wisdom,Def,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Andre Wisdom,Def,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Andre Wisdom,Def,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Andre Wisdom,Def,4,SOU,H,L,3-0,-1.5,0,0,0,0,0,2,0,0,1,0,0,2,2,1,0,3,0,0
Norwich,Lewis Grabban,For,1,CRY,A,L,1-3,7,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Norwich,Lewis Grabban,For,2,SUN,H,W,1-3,6,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0
Norwich,Lewis Grabban,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Lewis Grabban,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Cameron Jerome,For,1,CRY,A,L,1-3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Norwich,Cameron Jerome,For,2,SUN,H,W,1-3,1.5,0,0,0,0,1,1,0,0,1,0,0,5,0,4,0,0,0,0
Norwich,Cameron Jerome,For,3,STO,A,D,1-1,5,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0
Norwich,Cameron Jerome,For,4,SOU,H,L,3-0,0.5,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,0,0
Norwich,Dieudonne Mbokani Bezua,For,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Dieudonne Mbokani Bezua,For,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Dieudonne Mbokani Bezua,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Dieudonne Mbokani Bezua,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Kyle Lafferty,For,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Kyle Lafferty,For,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Kyle Lafferty,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Kyle Lafferty,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Gary Hooper,For,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Gary Hooper,For,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Gary Hooper,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Gary Hooper,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jamar Loza,For,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jamar Loza,For,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jamar Loza,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jamar Loza,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Josh Murphy,For,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Josh Murphy,For,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Josh Murphy,For,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Josh Murphy,For,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,John Ruddy,Goa,1,CRY,A,L,1-3,2.25,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0
Norwich,John Ruddy,Goa,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Norwich,John Ruddy,Goa,3,STO,A,D,1-1,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Norwich,John Ruddy,Goa,4,SOU,H,L,3-0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0
Norwich,Declan Rudd,Goa,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Declan Rudd,Goa,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Declan Rudd,Goa,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Declan Rudd,Goa,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jacob Kean,Goa,1,CRY,A,L,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jacob Kean,Goa,2,SUN,H,W,1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jacob Kean,Goa,3,STO,A,D,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Jacob Kean,Goa,4,SOU,H,L,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,Nathan Redmond,Mid,1,CRY,A,L,1-3,15,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Norwich,Nathan Redmond,Mid,2,SUN,H,W,1-3,27.5,1,0,1,4,0,4,0,0,1,0,0,1,0,1,0,0,0,0
Norwich,Nathan Redmond,Mid,3,STO,A,D,1-1,21.5,0,1,1,4,0,1,0,0,2,0,0,1,0,2,0,1,0,0
